Wavelength	c:/Users/Public/Halo/Exports/OtherFormats/Hynek_Natron_Set4/30174_HaloDefaultProject_HaloStandard-New Location 8-S_30174_0013.txt
350	 8.48864763975143E-02 
351	 8.15040990710258E-02 
352	 8.29010829329491E-02 
353	 8.53749066591263E-02 
354	 7.81870186328888E-02 
355	 7.93501436710358E-02 
356	 8.02276283502579E-02 
357	 7.47560188174248E-02 
358	 7.53493085503578E-02 
359	 7.62700662016869E-02 
360	 0.074359618127346 
361	 7.25569725036621E-02 
362	 7.34859928488731E-02 
363	 7.08787962794304E-02 
364	 6.97531551122665E-02 
365	 6.68606907129288E-02 
366	 6.50579333305359E-02 
367	 0.063238613307476 
368	 6.48414418101311E-02 
369	 6.82830139994621E-02 
370	 0.067314088344574 
371	 6.18687830865383E-02 
372	 5.96605986356735E-02 
373	 0.059841126203537 
374	 6.00485391914845E-02 
375	 6.11799582839012E-02 
376	 6.08021467924118E-02 
377	 5.95835782587528E-02 
378	 6.12414851784706E-02 
379	 6.18559345602989E-02 
380	 5.97331076860428E-02 
381	 6.04708641767502E-02 
382	 6.10454007983208E-02 
383	 5.93860261142254E-02 
384	 0.060450866818428 
385	 6.14702738821507E-02 
386	 0.059950727969408 
387	 5.71503899991512E-02 
388	 5.85087388753891E-02 
389	 6.02359920740128E-02 
390	 0.05959203094244 
391	 5.90852312743664E-02 
392	 5.88399916887283E-02 
393	 0.058329164981842 
394	 5.78778199851513E-02 
395	 0.05844946205616 
396	 5.91012723743916E-02 
397	 6.00663758814335E-02 
398	 6.01122453808784E-02 
399	 5.87937198579311E-02 
400	 5.89696876704693E-02 
401	 5.93207404017448E-02 
402	 5.90585991740227E-02 
403	 5.78886419534683E-02 
404	 5.88316023349762E-02 
405	 5.89541532099247E-02 
406	 5.86599335074425E-02 
407	 5.82424849271774E-02 
408	 5.74028193950653E-02 
409	 5.70812970399857E-02 
410	 5.71758076548576E-02 
411	 5.65874651074409E-02 
412	 5.61078898608685E-02 
413	 5.64274750649929E-02 
414	 5.69816529750824E-02 
415	 0.056405782699585 
416	 5.61723634600639E-02 
417	 5.68472184240818E-02 
418	 5.60695081949234E-02 
419	 5.60593903064728E-02 
420	 5.53236342966557E-02 
421	 5.54499886929989E-02 
422	 5.51423542201519E-02 
423	 5.47488071024418E-02 
424	 5.45325390994549E-02 
425	 5.39053604006767E-02 
426	 5.38947805762291E-02 
427	 5.41858039796352E-02 
428	 5.38419038057327E-02 
429	 5.30922301113606E-02 
430	 5.24220950901508E-02 
431	 5.22804446518421E-02 
432	 5.23581653833389E-02 
433	 5.19315339624882E-02 
434	 0.051879521459341 
435	 5.16437999904156E-02 
436	 5.11947721242905E-02 
437	 5.06792850792408E-02 
